id|trad|simp|jyutping
1|一不小心|一不小心|jat1 bat1 siu2 sam1
2|一世人|一世人|jat1 sai3 jan4
3|一世英名|一世英名|jat1 sai3 jing1 ming4
4|一个|一个|jat1 go3
5|一串|一串|jat1 cyun3
6|一九九七年|一九九七年|jat1 gau2 gau2 cat1 nin4
7|一九四九年|一九四九年|jat1 gau2 sei3 gau2 nin4
8|一事|一事|jat1 si6
9|一二|一二|jat1 ji6
10|一些些|一些些|jat1 se1 se1
11|一人做事一人當|一人做事一人当|jat1 jan4 zou6 si6 jat1 jan4 dong1
12|一人計短，二人計長|一人计短，二人计长|jat1 jan4 gai3 dyun2 ji6 jan4 gai3 zoeng2
13|一仆一碌|一仆一碌|jat1 puk1 jat1 luk1
14|一介|一介|jat1 gaai3
15|一代英豪|一代英豪|jat1 doi6 jing1 hou4
16|一代豪傑|一代豪杰|jat1 doi6 hou4 git6
17|一件還一件|一件还一件|jat1 gin6 waan4 jat1 gin6
18|一件頭|一件头|jat1 gin6 tau4
19|一任|一任|jat1 jam6
20|一份|一份|jat1 fan6
21|一住|一住|jat1 zyu6
22|一來到|一来到|jat1 lai4 dou3
23|一便|一便|jat1 bin6
24|一係|一系|jat1 hai6
25|一個|一个|jat1 go3
26|一個一個|一个一个|jat1 go3 jat1 go3
27|一個中國|一个中国|jat1 go3 zung1 gwok3
28|一個二個|一个二个|jat1 go3 ji6 go3
29|一個做好，一個做醜|一个做好，一个做丑|jat1 go3 zou6 hou2 ，jat1 go3 zou6 cau2
30|一個字|一个字|jat1 go3 zi6
31|一個對|一个对|jat1 go3 deoi3
32|一個崩|一个崩|jat1 go3 bang1
33|一個巴仙|一个巴仙|jat1 go3 baa1 sin1
34|一個鐘|一个钟|jat1 go3 zung1
35|一個餅印|一个饼印|jat1 go3 beng2 jan3
36|一個餅印噉|一个饼印啖|jat1 go3 beng2 jan3 gam2
37|一個骨|一个骨|jat1 go3 gwat1
38|一倍|一倍|jat1 pui5
39|一億|一亿|jat1 jik1
40|一元化|一元化|jat1 jyun4 faa3
41|一元復始|一元复始|jat1 jyun4 fuk6 ci2
42|一元方程|一元方程|jat1 jyun4 fong1 cing4
43|一兆|一兆|jat1 siu6
44|一共|一共|jat1 gung6
45|一凹一凸|一凹一凸|jat1 nap1 jat1 dat6
46|一分|一分|jat1 fan1
47|一分一秒|一分一秒|jat1 fan1 jat1 miu5
48|一分錢|一分钱|jat1 fan1 cin4
49|一刻|一刻|jat1 haak1
50|一動不如一靜|一动不如一静|jat1 dung6 bat1 jyu4 jat1 zing6
51|一十|一十|jat1 sap6
52|一千|一千|jat1 cin1
53|一去不返|一去不返|jat1 heoi3 bat1 faan2
54|一口價|一口价|jat1 hau2 gaa3
55|一口煙|一口烟|jat1 hau2 jin1
56|一句講晒|一句讲晒|jat1 geoi3 gong2 saai3
57|一句鐘|一句钟|jat1 geoi3 zung1
58|一向|一向|jat1 hoeng3
59|一向都|一向都|jat1 hoeng3 dou1
60|一味|一味|jat1 mei6
61|一哥|一哥|jat1 go1
62|一唔係|一唔系|jat1 m4 hai6
63|一啖砂糖一啖屎|一啖砂糖一啖屎|jat1 daam6 saa1 tong4 jat1 daam6 si2
64|一啲|一啲|jat1 di1
65|一啲啲|一啲啲|jat1 di1 di1
66|一嘢|一嘢|jat1 je5
67|一嚿嘢|一嚿嘢|jat1 gau6 je5
68|一嚿水|一嚿水|jat1 gau6 seoi2
69|一嚿溜|一嚿溜|jat1 gau6 liu1
70|一嚿雲|一嚿云|jat1 gau6 wan4
71|一嚿飯|一嚿饭|jat1 gau6 faan6
72|一嚿飯噉|一嚿饭啖|jat1 gau6 faan6 gam2
73|一回|一回|jat1 wui4
74|一國三公|一国三公|jat1 gwok3 saam1 gung1
75|一國之君|一国之君|jat1 gwok3 zi1 gwan1
76|一團|一团|jat1 tyun4
77|一坺|一坺|jat1 pet6
78|一坺迾|一坺迾|jat1 paat6 laat6
79|一場|一场|jat1 coeng4
80|一場歡喜一場空|一场欢喜一场空|jat1 coeng4 fun1 hei2 jat1 coeng4 hung1
81|一夕之間|一夕之间|jat1 zik6 zi1 gaan1
82|一夜夫妻百日恩|一夜夫妻百日恩|jat1 je6 fu1 cai1 baak3 jat6 jan1
83|一夜風流|一夜风流|jat1 je6 fung1 lau4
84|一天|一天|jat1 tin1
85|一天光晒|一天光晒|jat1 tin1 gwong1 saai3
86|一天都光晒|一天都光晒|jat1 tin1 dou1 gwong1 saai3
87|一夫|一夫|jat1 fu1
88|一夫一妻制|一夫一妻制|jat1 fu1 jat1 cai1 zai3
89|一夫當關|一夫当关|jat1 fu1 dong1 gwaan1
90|一如往昔|一如往昔|jat1 jyu4 wong5 sik1
91|一妻多夫|一妻多夫|jat1 cai1 do1 fu1
92|一妻多夫制|一妻多夫制|jat1 cai1 do1 fu1 zai3
93|一姐|一姐|jat1 ze2
94|一字之差|一字之差|jat1 zi6 zi1 caa1
95|一字咁淺|一字咁浅|jat1 zi6 gam2 cin2
96|一字角|一字角|jat1 zi6 gok3
97|一字馬|一字马|jat1 zi6 maa5
98|一官半職|一官半职|jat1 gun1 bun3 zik1
99|一定會|一定会|jat1 ding6 wui5
100|一家大細|一家大细|jat1 gaa1 daai6 sai3
101|一將功成萬骨枯|一将功成万骨枯|jat1 zoeng3 gung1 sing4 maan6 gwat1 fu1
102|一對一|一对一|jat1 deoi3 jat1
103|一小時|一小时|jat1 siu2 si4
104|一就一，二就二|一就一，二就二|jat1 zau6 jat1 ji6 zau6 ji6
105|一局|一局|jat1 guk6
106|一山不能藏二虎|一山不能藏二虎|jat1 saan1 bat1 nang4 cong4 ji6 fu2
107|一山還比一山高|一山还比一山高|jat1 saan1 waan4 bei2 jat1 saan1 gou1
108|一岩一窟|一岩一窟|jat1 ngaam4 jat1 fat1
109|一己之私|一己之私|jat1 gei2 zi1 si1
110|一帆風順|一帆风顺|jat1 faan4 fung1 seon6
111|一年|一年|jat1 nin4
112|一年一度|一年一度|jat1 nin4 jat1 dou6
113|一年級|一年级|jat1 nin4 kap1
114|一式|一式|jat1 sik1
115|一式兩份|一式两份|jat1 sik1 loeng5 fan6
116|一弓射兩箭|一弓射两箭|jat1 gung1 se6 loeng5 zin3
117|一張|一张|jat1 zoeng1
118|一張嘢|一张嘢|jat1 zoeng1 je5
119|一往|一往|jat1 wong5
120|一往情深|一往情深|jat1 wong5 cing4 sam1
121|一德路|一德路|jat1 dak1 lou6
122|一心一意|一心一意|jat1 sam1 jat1 ji3
123|一心向上|一心向上|jat1 sam1 hoeng3 soeng6
124|一忍再忍|一忍再忍|jat1 jan2 zoi3 jan2
125|一念之間|一念之间|jat1 nim6 zi1 gaan1
126|一息尚存|一息尚存|jat1 sik1 soeng6 cyun4
127|一息間|一息间|jat1 sik1 gaan1
128|一成|一成|jat1 sing4
129|一戙都冇|一戙都冇|jat1 dung6 dou1 mou5
130|一手|一手|jat1 sau2
131|一手一腳|一手一脚|jat1 sau2 jat1 goek3
132|一手交錢|一手交钱|jat1 sau2 gaau1 cin2
133|一批|一批|jat1 pai1
134|一技旁身|一技旁身|jat1 gei6 pong4 san1
135|一把|一把|jat1 baa2
136|一把火|一把火|jat1 baa2 fo2
137|一拍行|一拍行|jat1 paak3 hong2
138|一招半式|一招半式|jat1 ziu1 bun3 sik1
139|一撇嘢|一撇嘢|jat1 pit3 je5
140|一撇水|一撇水|jat1 pit3 seoi2
141|一擔擔|一担担|jat1 daam3 daam1
142|一支公|一支公|jat1 zi1 gung1
143|一文|一文|jat1 man4
144|一於|一於|jat1 jyu1
145|一日|一日|jat1 jat6
146|一日到黑|一日到黑|jat1 jat6 dou3 hak1
147|一早|一早|jat1 zou2
148|一早就|一早就|jat1 zou2 zau6
149|一時|一时|jat1 si4
150|一時一樣|一时一样|jat1 si4 jat1 joeng6
151|一時之間|一时之间|jat1 si4 zi1 gaan1
152|一時口快|一时口快|jat1 si4 hau2 faai3
153|一時時|一时时|jat1 si4 si4
154|一朝|一朝|jat1 ziu1
155|一朝天子一朝臣|一朝天子一朝臣|jat1 ciu4 tin1 zi2 jat1 ciu4 san4
156|一朝被蛇咬|一朝被蛇咬|jat1 ziu1 bei6 se4 ngaau5
157|一本通書睇到老|一本通书睇到老|jat1 bun2 tung1 syu1 tai2 dou3 lou5
158|一朵鮮花插在牛糞上|一朵鲜花插在牛粪上|jat1 do2 sin1 faa1 caap3 zoi6 ngau4 fan3 soeng5
159|一枕黃粱|一枕黄粱|jat1 zam2 wong4 loeng4
160|一枝公|一枝公|jat1 zi1 gung1
161|一架|一架|jat1 gaa3
162|一條冷|一条冷|jat1 tiu4 laang5
163|一條數|一条数|jat1 tiu4 sou3
